id,type,date,text
70,message,2017-05-18T22:28:29,"Друзі! В нас в цю суботу буде дуже крута акція!

; 
Анонс нижче."
71,message,2017-05-19T10:49:29,"Привіт всім!

Дуже крута новина!
; 

Що нового.

; 
Всім нам подобається відправляти миттєві аудіоповідомлення. Тепер можна відправляти і відео.

; 
Маємо надію, що скоро вона запрацює і в Україні і ми зможемо оплачувати покупки і послуги через месенджер.

; 
Функція миттєвого відкриття посилань дуже зручна на мобільних платформах, особливо в умовах поганого інтернет зв'язку.
Зустрічайте круте оновлення. Тепер ви можете не тільки переглядати миттєві посилання, а й налаштовувати його для себе. Також можливість увімкнення такої функції отримали всі сайти, тож якщо ви маєте свій сайт, то звернувшись в техпідтримку месенджера вам нададуть таку функцію.
Якщо ви володієте мовою розмітки HTML, то можете заробити на адаптації сайтів для миттевих переглядів. Кошти сплачує адміністрація месенджера.

"
74,message,2017-05-19T21:22:38,"

Активісти ""Національного корпусу"" разом з мелітопольською міською радою організували масштабне святкування Дня української вишиванки. Декілька сотень патріотів, одягнених в національну одежу, пройшлись від Площі Перемоги до міського парку ім.Горького, де учасники зробили пам'ятні фото."
76,message,2017-05-20T11:14:25,"Всім привіт!

Друзі, наш побратим, а від недавна і блогер, Даня Локі, започаткував рубрику, де він піаритиме наших побратимів.

Перше повідомлення про голову Запорізького осередку Максона.

"
77,message,2017-05-20T22:22:30,"Друзі, ще раз всім привіт!
Ми відкрили для вас хаб для обміну ідеями. Деталі за посиланням.
Заходимо, спілкуємося, створюємо ініціативи.

"
78,message,2017-05-22T15:55:29,"В ОФІСІ НАЦІОНАЛЬНОГО КОРПУСУ СТАВСЯ ВИБУХ

Сьогодні вночі невідомі кинули вибуховий пристрій у двір центрального офісу Національного Корпусу. Вибух стався близько 3 годин ночі. Нагадаємо, що тиждень тому, до цього ж офісу було підкладено вибухівку, яку вдалось знешкодити.

Проросійські сили продовжують мститися за акції Національного Корпусу, які були проведені 9 травня. Тоді наші активісти перешкодили лідерам сепаратистських партій, які ведуть свою діяльність в Україні, взяти участь у проросійських шабашах імені «перемоги» у центрі столиці. Та враховуючи аж зовсім не короткий список успішно проведених Національним Корпусом акцій в останній час, ми не виключаємо причетність до злочину і інших винуватців.

Проте, подібні дії не викликають у нас ані остраху, ані намірів зупинятися. Ми і далі будемо викорінювати сепаратизм в Україні, ми і далі будемо зупиняти проросійські акції. Спроби залякати нас – це підтвердження того, що наша справа правильна і що наші дії заважають існуванню тут русского міра.

; 

"
79,message,2017-05-22T16:46:34,Підписуйтеся на ; : 
80,message,2017-05-23T10:46:29,"Нові традиції зароджуються сьогодні

23 травня о 16:00 на площі перед будівлею НІАМ «Київська фортеця» (Косий капонір) відбудеться урочистий випуск другого курсу сержантів Військової школи командирів АЗОВ ім. полковника Євгена Коновальця...

Детальніше: "
82,message,2017-05-23T13:02:52,"ВСЕУКРАЇНСЬКА КАМПАНІЯ - «ПАМ'ЯТЬ НАЦІЇ»
Читати далі: "
83,message,2017-05-23T15:25:31,Помстиш смерть великих лицарів!
84,message,2017-05-23T22:21:50,"Відбувся випуск сержантів другого курсу Військової школи імені полковника Євгена Коновальця
Деталі: "
85,message,2017-05-24T16:47:13,"НАЦІОНАЛЬНИЙ КОРПУС ЗАПРОШУЄ ВІДВІДАТИ ІСТОРИЧНУ ЛЕКЦІЮ, ПРИСВЯЧЕНУ СКІФАМ

25 травня, у четвер, відбудеться лекція «Скіфський воїн» від лектора Сергія Червінського.

Захід відбудеться о 18:00 за адресою: проспект Перемоги 83 (ст.м. Святошин), АТЕК (конференц-зал) на другому поверсі.

Запрошуємо усіх, хто цікавиться історією та хоче провести разом із нами свій час із користю!

;  "
88,message,2017-05-24T17:13:44,"ЗУСТРІЧ З АНДРІЄМ БІЛЕЦЬКИМ У КРИВОМУ РОЗІ

Цієї суботи, 27 травня, в місто Кривий Ріг завітає Лідер Азовського Руху, голова партії Національний Корпус, народний депутат України, перший командир полку АЗОВ Андрій Білецький та проведе зустріч з громадою міста. 

На вас очікує:
- виступ Лідера;
- можливість поставити нагальні питання, що цікавлять саме вас, народному депутату;
- можливість дізнатися більше про Національний Корпус, Азовський Рух, його плани, цілі та діяльність, зокрема в Кривому Розі.

27 травня, бізнес-центр «NEWTON» (вул. Криворіжсталі, 67), 16:00.

Запрошуємо усіх мешканців Кривого Рогу, журналістів, громадських діячів і всіх небайдужих!

;  ; 

"
90,message,2017-05-24T19:43:06,"У ЗАПОРІЖЖІ ВІДБУДЕТЬСЯ ФУТБОЛЬНИЙ ТУРНІР ДО ДНЯ ГЕРОЇВ

27 травня на стадіоні «Оліпм-Арена» за адресою вул. Незалежної України 37 відбудеться турнір до Дня Героїв. У заході братимуть участь команди – представники патріотичних сил міста. 

У Свято Героїв Україна вшановує лицарів Київської Русі, козаків Гетьманської Доби, опришків, українських січових стрільців, вояків Армії УНР, УПА та діячів ОУН - усіх тих, хто боровся за майбутнє Батьківщини. 

Запрошуємо усіх бажаючих долучитись до вшанування Героїв!"
92,message,2017-05-24T19:53:36,"«МІЦНА ЖІНКА – ВІЛЬНА НАЦІЯ» – 3 СЕЗОН

20 травня відбувся старт З сезону програми «Міцна Жінка – Вільна Нація» з жіночої самооборони зі зброєю. 

На першому занятті учасниці були розділені на 2 групи (аматорів та ветеранів), з якими по черзі займались інструктори роти спец.призначення «Східний Корпус».

Там була і тактика, і медицина, і розбір юридичних аспектів, що стосуються поводження зі зброєю, і розгляд спец.спорядження та спец.засобів бійців роти «Східний Корпус».

Не менш знаковим був візит Юлії Олександрівни Світличної, та її зацікавленість цією програмою.

"
